FacultyID,FacultyName,DepartmentID
F109,Dr. Ganesh Mane,D04
F106,Prof. Rekha Nikam,D02
F110,Dr. Nikhil Thakur,D02
F105,Dr. Manoj Pawar,D01
F104,F104,D02
F102,Prof. Snehal Joshi,D05
F101,Dr. Ramesh Kulkarni,D01
F107,Dr. Sanjay Rane,D01
F108,Prof. Pooja Salunkhe,D01
F103,Dr. Ashwini Deshmukh,D01
F100,Dr. Nikhil Thakur,D05
F95,Dr. Manoj Pawar,D02
F112,Prof. Vikram Patil,D06
F116,Prof. Pooja Salunkhe,D04
F114,Prof. Rekha Nikam,D04
F111,Dr. Nikhil Thakur,D01
F99,Dr. Ganesh Mane,D01
F94,Prof. Vikram Patil,D01
